品类,日期,销量
category84,2023/6/18,141914
category21,2022/8/31,130556
category84,2023/6/1,115928
category225,2023/6/1,110234
category21,2022/8/29,110020
category21,2022/9/30,104616
category254,2023/6/18,100254
category84,2023/6/19,98706
category21,2023/6/18,96650
category21,2023/6/16,94176
category225,2023/6/18,93278
category21,2023/5/31,87046
category21,2022/7/24,86286
category21,2023/4/23,85094
category21,2023/4/27,82814
category21,2023/6/1,78168
category21,2022/8/24,76468
category84,2023/6/17,76018
category21,2022/9/27,74818
category21,2022/9/23,73962
category21,2022/7/18,70804
category254,2023/6/1,69118
category254,2023/6/19,68984
category225,2023/6/16,68532
category2,2023/6/23,68496
category225,2023/6/19,67950
category279,2022/8/27,67502
category21,2022/9/9,67104
category84,2023/6/16,66806
category21,2022/7/25,66702
category21,2022/9/6,66176
category225,2023/6/5,66156
category21,2022/7/30,65572
category84,2023/6/2,64800
category21,2023/6/7,64724
category225,2023/6/17,63200
category84,2023/6/6,61890
category225,2023/6/2,61450
category21,2023/6/14,61422
category84,2022/9/7,59824
category21,2022/7/26,59546
category225,2023/6/3,59124
category84,2023/5/24,58232
category254,2023/6/6,56966
category21,2022/8/20,56172
category21,2022/9/7,56026
category21,2022/7/22,55966
category21,2022/9/22,55190
category21,2022/9/16,54852
category254,2023/6/16,54764
category84,2023/6/15,53506
category21,2022/9/8,53026
category225,2023/6/12,52970
category21,2023/6/15,52968
category21,2023/6/6,52472
category84,2023/6/14,52368
category84,2022/9/8,51806
category225,2023/5/31,51116
category21,2023/6/17,50872
category84,2022/9/9,50506
category21,2023/6/19,49906
category21,2022/8/25,49846
category21,2022/9/29,49432
category308,2023/6/18,49074
category254,2023/6/17,48834
category21,2022/8/28,48778
category21,2022/7/19,48610
category21,2022/8/21,48548
category84,2022/9/6,48078
category254,2023/5/24,48028
category21,2022/8/26,48022
category21,2022/8/19,47704
category21,2022/8/18,47574
category84,2022/9/23,47512
category21,2022/9/28,47392
category21,2022/9/5,46662
category84,2022/8/31,45984
category21,2022/8/23,45916
category254,2022/9/7,45608
category84,2023/6/3,45530
category21,2023/5/30,45386
category84,2023/5/31,45362
category254,2023/6/7,44966
category84,2022/9/10,44940
category254,2023/6/3,44816
category84,2022/9/2,44812
category225,2023/6/15,44690
category225,2023/6/7,44518
category84,2022/9/1,44508
category84,2023/6/12,44052
category254,2023/6/2,43740
category21,2023/5/27,43730
category21,2022/9/1,43676
category84,2022/9/4,43386
category84,2022/9/20,42616
category84,2022/9/16,42434
category84,2022/9/11,42230
category84,2022/9/3,42140
category21,2023/6/13,42014
category21,2022/7/21,41800
category254,2022/9/9,41776
category21,2022/8/30,41756
category21,2022/9/17,41588
category21,2022/8/4,41476
category84,2022/9/27,41288
category21,2023/4/15,41210
category79,2022/9/6,41164
category84,2022/9/5,41164
category21,2022/7/28,41154
category40,2023/6/18,41136
category84,2022/9/28,40940
category254,2023/6/15,40742
category21,2022/9/18,40736
category79,2022/9/5,40716
category225,2022/9/25,40648
category308,2023/6/1,40590
category84,2023/6/20,40392
category21,2022/9/2,40234
category21,2023/5/24,40138
category254,2023/6/14,39940
category225,2023/4/19,39616
category79,2022/9/7,39574
category84,2022/8/18,39492
category21,2023/6/4,39484
category84,2023/6/13,39420
category21,2022/8/1,39340
category84,2023/6/7,39214
category254,2023/6/8,39156
category21,2022/9/15,39086
category21,2022/9/14,38944
category21,2022/9/26,38858
category84,2022/9/17,38816
category21,2022/8/11,38808
category84,2022/9/22,38740
category84,2022/9/29,38714
category21,2023/5/29,38676
category21,2023/6/2,38662
category84,2022/9/15,38130
category21,2022/8/16,37374
category21,2022/9/21,37262
category254,2023/5/31,37216
category21,2022/9/20,37204
category21,2022/9/3,37174
category254,2023/6/9,37172
category21,2023/6/5,37160
category84,2022/9/19,37124
category84,2023/6/4,37062
category21,2022/8/22,37028
category21,2023/4/21,36994
category254,2023/5/17,36992
category21,2022/9/19,36930
category225,2023/6/4,36910
category21,2023/6/11,36898
category21,2022/9/24,36890
category21,2023/5/17,36784
category84,2022/9/14,36678
category84,2022/8/30,36656
category225,2023/4/20,36650
category21,2022/8/15,36564
category225,2022/8/3,36474
category84,2022/9/24,36470
category21,2023/6/12,36282
category225,2022/8/2,36252
category225,2022/9/27,36098
category21,2023/4/24,36096
category84,2022/9/30,36080
category254,2022/9/8,36040
category84,2022/8/26,36032
category21,2023/4/3,36020
category254,2023/6/20,36012
category21,2023/4/18,35920
category21,2022/8/8,35876
category21,2022/7/14,35750
category21,2022/9/4,35720
category254,2022/8/1,35718
category21,2023/4/11,35680
category21,2022/8/3,35656
category21,2023/6/9,35626
category21,2022/9/10,35474
category84,2022/8/25,35460
category21,2022/8/17,35434
category84,2023/5/23,35416
category21,2022/7/12,35332
category84,2022/9/13,35312
category21,2022/8/2,35218
category254,2023/6/5,35206
category84,2022/9/21,35006
category21,2022/8/9,34994
category84,2023/4/24,34988
category254,2023/5/23,34970
category225,2023/6/20,34956
category84,2023/5/17,34834
category225,2023/6/8,34702
category84,2023/6/8,34682
category84,2022/8/29,34664
category21,2023/4/16,34494
category84,2022/8/11,34456
category254,2023/5/29,34408
category21,2022/8/5,34346
category84,2022/8/27,34136
category84,2023/5/25,34126
category254,2022/9/23,34058
category84,2023/4/28,34028
category21,2023/4/6,34002
category254,2022/7/25,33998
category84,2023/4/11,33978
category21,2022/7/31,33950
category84,2022/8/28,33894
category21,2023/4/20,33878
category21,2023/4/29,33864
category84,2022/7/28,33808
category21,2023/4/25,33796
category21,2023/4/12,33742
category21,2023/4/10,33716
category84,2022/8/24,33708
category21,2023/4/7,33704
category84,2022/8/2,33670
category84,2023/4/7,33652
category21,2023/4/26,33640
category254,2022/9/6,33620
category84,2022/8/13,33608
category254,2023/6/12,33362
category21,2022/9/13,33328
